172.22.77.32/31,TW,TW-TPE,Taipei,
172.22.77.34/32,HK,,Hong Kong,
172.22.77.35/32,JP,JP-13,Tokyo,
172.22.77.36/32,SG,SG-01,Singapore,
172.22.77.37/32,CN,CN-HN,Changsha,
172.22.77.38/32,CN,CN-BJ,Beijing,
172.22.77.39/32,CN,CN-SC,Chengdu,
172.22.77.40/32,US,US-CA,California,
172.22.77.41/32,US,US-WA,Seattle,
172.22.77.42/32,DE,DE-HE,Hessen,
172.22.77.43/32,NL,NL-NH,Amsterdam,
172.22.77.46/32,AQ,,Antarctica,
172.22.77.47/32,AQ,,Antarctica,
fd28:cb8f:4c92::/63,TW,TW-TPE,Taipei,
fd28:cb8f:4c92:2::/64,HK,,Hong Kong,
fd28:cb8f:4c92:3::/64,JP,JP-13,Tokyo,
fd28:cb8f:4c92:4::/64,SG,SG-01,Singapore,
fd28:cb8f:4c92:5::/64,CN,CN-HN,Changsha,
fd28:cb8f:4c92:6::/64,CN,CN-BJ,Beijing,
fd28:cb8f:4c92:7::/64,CN,CN-SC,Chengdu,
fd28:cb8f:4c92:8::/64,US,US-CA,California,
fd28:cb8f:4c92:9::/64,US,US-WA,Seattle,
fd28:cb8f:4c92:a::/64,DE,DE-HE,Hessen,
fd28:cb8f:4c92:b::/64,NL,NL-NH,Amsterdam,
fd28:cb8f:4c92:bbbb::/64,AQ,,Antarctica,
10.127.111.1/32,HK,,Hong Kong,
10.127.111.2/32,JP,JP-13,Tokyo,
10.127.111.3/32,SG,SG-01,Singapore,
10.127.111.4/32,US,US-WA,Washington,
10.127.111.6/32,CA,CA-ON,Ontario,
10.127.111.7/32,CH,CH-ZH,Zürich,
10.127.111.8/32,NL,NL-NH,Amsterdam,
10.127.111.9/32,AU,AU-ACT,Canberra,
10.127.111.10/32,AE,AE-DU,Dubai,
10.127.111.14/31,AQ,,Antarctica,
fd10:127:e00f:1::/64,HK,,Hong Kong,
fd10:127:e00f:2::/64,JP,JP-13,Tokyo,
fd10:127:e00f:3::/64,SG,SG-01,Singapore,
fd10:127:e00f:4::/64,US,US-WA,Washington,
fd10:127:e00f:6::/64,CA,CA-ON,Ontario,
fd10:127:e00f:7::/64,CH,CH-ZH,Zürich,
fd10:127:e00f:8::/64,NL,NL-NH,Amsterdam,
fd10:127:e00f:9::/64,AU,AU-ACT,Canberra,
fd10:127:e00f:a::/64,AE,AE-DU,Dubai,
fd10:127:e00f:e::/63,AQ,,Antarctica,
